URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.ch/ig/ch-etoc/CodeSystem/ch-etoc-conditioncategory,3.1.1-ci-build,active,,ChEtocConditionCategory,Condition Category,"Additional codes for condition category.","ValueSet/condition-category"
http://fhir.ch/ig/ch-term/CodeSystem/ch-vacd-swissmedic-imunglobuline-cs,3.1.1-ci-build,active,,SwissMedicAuthorizedImunglobulineCodesystem,CH VACD Swissmedic Authorized Immunglobuline Codes,"The ATC J06B – Immunglobuline codes swissmedic has given an autorization.","ValueSet/ch-vacd-swissmedic-imunglobuline-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-basic-immunization-cs,6.0.0-ballot-ci-build,active,,BasicImmunizationCodesystem,Basic Immunization codes,"Clinical Decision Support Event","ValueSet/ch-vacd-basic-immunization-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-entry-conflict-cs,6.0.0-ballot-ci-build,active,,EntryConflictCodesystem,Entry Conflict Code System,"The entry conflict codesystem","ValueSet/ch-vacd-entry-conflict-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-exposure-risks-cs,6.0.0-ballot-ci-build,active,,SwissExposureRisksCodesystem,Swiss Exposure Risks Codesystem,"Exposure risks codes available in Switzerland.","ValueSet/ch-vacd-risks-occupation-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-myvaccines-cs,3.1.1-ci-build,active,,OldSwissVaccinesCodesystem,CH VACD Old Swiss Vaccines,"Old vaccines codes earlier available in Switzerland.","ValueSet/ch-vacd-vaccines-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-recommendation-categories-cs,3.1.1-ci-build,active,"2.16.756.5.30.1.127.3.3.4",SwissImmunizationRecommendationCategoriesCodesystem,CH VACD Swiss Immunization Recommendation Categories,"Immunization recommendation categories available in Switzerland.","ValueSet/ch-vacd-recommendation-categories-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-recommendation-forecast-status-cs,3.1.1-ci-build,active,,SwissRecommendationForecastStatusCodesystem,CH VACD Swiss Recommendation Forecast Status,"Immunization recommendation forecast status values.","ValueSet/ch-vacd-recommendation-forecast-status-vs"
http://fhir.ch/ig/ch-vacd/CodeSystem/ch-vacd-swissmedic-cs,3.1.1-ci-build,active,,SwissMedicAuthorizedVaccinesCodesystem,CH VACD Swissmedic Authorized Vaccines,"The vaccines swissmedic has given an autorization number.","ValueSet/ch-vacd-vaccines-vs"
http://hl7.org/fhir/CodeSystem/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1380",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-status"
