URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.ch/ig/ch-allergyintolerance/ValueSet/CHAllergyIntoleranceConditionValueSet,3.1.1-ci-build,active,,CHAllergyIntoleranceConditionValueSet,CH AllergyIntolerance Condition,"CH AllergyIntolerance condition value set. This value set includes codes from SNOMED Clinical Terms®  values  for values from the manifestation of reactions value set PLUS findings for the documentation of allergy or intolerances in conditions as problem-list or as encounter-diagnosis as well as its absence (no know allergies)","StructureDefinition/ch-vacd-pastillnesses,StructureDefinition/ch-vacd-basic-immunization,StructureDefinition/ch-vacd-condition,StructureDefinition/ch-vacd-medical-problems","SCT"
http://fhir.ch/ig/ch-allergyintolerance/ValueSet/CHAllergyIntoleranceReactionManifestationValueSet,3.1.1-ci-build,active,,CHAllergyIntoleranceReactionManifestationValueSet,CH AllergyIntolerance Reaction Manifestation,"CH AllergyIntolerance reaction manifestation value set, including codes values according to the Allergy Reaction (GPS) - IPS value set from SNOMED Clinical Terms®  for the documentation of manifestation of allergy or intolerance reactions","StructureDefinition/ch-vacd-allergyintolerances","SCT"
http://fhir.ch/ig/ch-allergyintolerance/ValueSet/CHAllergyIntoleranceReactionSubstanceValueSet,3.1.1-ci-build,active,,CHAllergyIntoleranceReactionSubstanceValueSet,CH AllergyIntolerance Reaction Substance,"CH AllergyIntolerance reation substance value set. This value set includes codes from SNOMED Clinical Terms® substances for the documentation of substancies of allergy or intolerance reactions","StructureDefinition/ch-vacd-allergyintolerances","SCT"
http://fhir.ch/ig/ch-term/ValueSet/ActivePharmaceuticalIngredient,3.1.1-ci-build,active,"2.16.756.5.30.1.1.11.82",ActivePharmaceuticalIngredient,ActivePharmaceuticalIngredient,"ActivePharmaceuticalIngredient","StructureDefinition/ch-vacd-medication-for-immunization","SCT"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.formatCode,3.1.1-ci-build,active,"2.16.756.5.30.1.127.3.10.1.9",DocumentEntryFormatCode,DocumentEntry.formatCode,"Document format as per Annex; EPRO-FDHA.         This unambiguous code defines the format of the XDS document. Together with the mimetype, this should provide the potential consumer with sufficient information as to whether they are in a position to process the document.","StructureDefinition/ch-vacd-composition-immunization-administration,StructureDefinition/ch-vacd-composition-vaccination-record","ihe.formatcode.fhir,ch.fhir.ig.ch-term,Other"
http://fhir.ch/ig/ch-term/ValueSet/DocumentEntry.typeCode,3.1.1-ci-build,active,"2.16.756.5.30.1.127.3.10.1.27",DocumentEntryTypeCode,DocumentEntry.typeCode,"Type of document as per Annex 3 EPRO-FDHA.     The code defines a document’s type (e.g. discharge report, laboratory report). Each document type should be assigned to precisely one document class.","StructureDefinition/ch-vacd-composition-immunization-administration,StructureDefinition/ch-vacd-composition-vaccination-record","SCT"
http://fhir.ch/ig/ch-term/ValueSet/ch-vacd-swissmedic-imunglobuline-vs,3.1.1-ci-build,active,,SwissImunglobuline,CH VACD Swissmedic Authorized Immunglobuline Codes,"The list of ATC J06B – Immunglobuline codes swissmedic has given an autorization number.","StructureDefinition/ch-vacd-immunization","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/condition-category,3.1.1-ci-build,active,,ConditionCategoryCodes,Condition Category Codes,"Additional codes for condition category.","StructureDefinition/ch-vacd-pastillnesses,StructureDefinition/ch-vacd-basic-immunization,StructureDefinition/ch-vacd-condition,StructureDefinition/ch-vacd-medical-problems","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-term/ValueSet/edqm-pharmaceuticaldoseform,3.1.1-ci-build,active,"2.16.756.5.30.1.1.11.3",PharmaceuticalDoseFormEDQM,EDQM - Pharmaceutical Dose Form,"Valueset Pharmaceutical Dose Form from EDQM, PDF, export20.5.2021, see https://standardterms.edqm.eu/#","StructureDefinition/ch-vacd-medication-for-immunization","ch.fhir.ig.ch-term"
http://fhir.ch/ig/ch-vacd/ValueSet/ch-vacd-basic-immunization-vs,6.0.0-ballot-ci-build,active,,BasicImmunizationCode,Basic Immunization Codes,"The codes for declaring basic immunization.","StructureDefinition/ch-vacd-basic-immunization","Internal"
